,affiliate_channel,affiliate_provider,age,country_destination,date_account_created,date_first_booking,first_affiliate_tracked,first_browser,first_device_type,gender,id,language,signup_app,signup_flow,signup_method,timestamp_first_active,date_first_active,secs_elapsed
5245,sem-brand,google,56.0,DE,2014-06-27,2014-06-28,omg,Safari,Mac Desktop,MALE,226wbg1jce,en,Web,0,basic,20140627164602,2014-06-27,3045062.0
5246,remarketing,google,25.0,US,2014-01-11,2014-01-14,linked,Safari,Mac Desktop,,22825bmy6r,en,Web,0,basic,20140111102647,2014-01-11,764.0
5249,direct,direct,32.0,US,2014-03-23,2014-05-23,linked,Safari,Mac Desktop,MALE,228o2t9y4j,en,Web,0,basic,20140323041103,2014-03-23,799100.0
5250,direct,direct,27.0,US,2014-05-21,2014-05-26,untracked,-unknown-,iPhone,FEMALE,22aswu2efi,en,iOS,25,basic,20140521022226,2014-05-21,501724.0
5251,sem-brand,google,61.0,GB,2014-06-11,2015-05-23,omg,Safari,Mac Desktop,FEMALE,22b8iblerc,en,Web,0,basic,20140611163521,2014-06-11,1308188.0
5255,direct,direct,55.0,US,2014-02-08,2014-02-09,untracked,Safari,Mac Desktop,,22c58tc142,en,Web,0,basic,20140208222004,2014-02-08,2005787.0
5260,seo,google,56.0,US,2014-03-03,2014-03-03,linked,Mobile Safari,iPad,,22d4xxdil2,en,Web,0,basic,20140303023713,2014-03-03,1749072.0
5264,direct,direct,22.0,other,2014-06-27,2014-08-21,untracked,-unknown-,Android Phone,MALE,22fdsdavo2,en,Android,23,facebook,20140627055610,2014-06-27,185049.0
5273,direct,direct,31.0,US,2014-03-10,2014-04-06,untracked,Safari,Mac Desktop,MALE,22jpdxv1gr,en,Web,0,facebook,20140310191211,2014-03-10,1113323.0
5275,direct,direct,24.0,US,2014-03-30,2014-08-13,untracked,Chrome,Windows Desktop,FEMALE,22mg42wwd4,fr,Web,0,basic,20140330155633,2014-03-30,1097908.0
5276,other,other,36.0,US,2014-01-09,2014-12-20,untracked,Chrome,Windows Desktop,MALE,22n5c9hq97,en,Web,0,basic,20140109212212,2014-01-09,4698507.0
5277,direct,direct,38.0,US,2014-05-06,2014-05-07,untracked,Chrome,Mac Desktop,,22njdn8tu4,en,Web,0,basic,20140506205403,2014-05-06,2759883.0
5278,sem-brand,google,29.0,US,2014-05-21,2014-06-29,omg,Chrome,Mac Desktop,FEMALE,22o00tzrv6,en,Web,0,facebook,20140521053322,2014-05-21,2109174.0
5280,direct,direct,34.0,US,2014-06-21,2015-05-18,linked,Mobile Safari,iPad,MALE,22o9hfx27l,en,Web,0,basic,20140621224221,2014-06-21,230615.0
5281,direct,direct,21.0,US,2014-03-28,2014-03-28,untracked,-unknown-,Other/Unknown,FEMALE,22ozo82vj6,en,Android,23,basic,20140328220826,2014-03-28,9693830.0
5287,sem-brand,baidu,23.0,US,2014-04-01,2015-02-02,omg,Chrome,Windows Desktop,MALE,22qi95dlde,en,Web,0,basic,20140401111525,2014-04-01,800896.0
5295,direct,direct,26.0,CA,2014-04-09,2014-04-21,untracked,Chrome,Mac Desktop,FEMALE,22scgun1vl,en,Web,0,facebook,20140409072645,2014-04-09,2145738.0
5296,direct,direct,28.0,US,2014-06-14,2014-06-17,untracked,-unknown-,Android Phone,,22tfdfqxvi,en,Android,23,basic,20140614214603,2014-06-14,2469169.0
5300,direct,direct,26.0,other,2014-01-23,2014-01-25,untracked,Chrome,Windows Desktop,FEMALE,22uzsgzy06,en,Web,0,basic,20140123044314,2014-01-23,5799051.0
5302,seo,google,39.0,other,2014-01-21,2014-01-25,linked,Chrome,Mac Desktop,FEMALE,22y9x3rndg,en,Web,0,facebook,20140121101836,2014-01-21,650625.0
5304,sem-brand,google,27.0,US,2014-05-16,2014-05-17,omg,Chrome,Mac Desktop,FEMALE,22z19xwu3k,en,Web,0,facebook,20140516202558,2014-05-16,1712383.0
5305,direct,direct,25.0,ES,2014-05-21,2014-05-29,untracked,Safari,Mac Desktop,FEMALE,22z4y5stcv,en,Web,0,basic,20140521150906,2014-05-21,745778.0
5310,sem-brand,bing,27.0,other,2014-06-01,2015-03-09,omg,Chrome,Windows Desktop,MALE,230cfe4i5m,en,Web,0,basic,20140601012056,2014-06-01,1054538.0
5313,sem-brand,google,39.0,US,2014-06-03,2015-02-20,untracked,Safari,Mac Desktop,,230s92ymk9,en,Web,0,basic,20140603191546,2014-06-03,1964686.0
5314,sem-non-brand,google,51.0,DE,2014-06-04,2014-06-06,linked,Chrome,Desktop (Other),MALE,2310rf49dv,en,Web,0,basic,20140604000923,2014-06-04,4980799.0
5315,direct,direct,19.0,CA,2014-05-28,2014-06-03,untracked,Chrome,Windows Desktop,FEMALE,231xsjrsuk,en,Web,0,basic,20140528205104,2014-05-28,492601.0
5318,api,other,34.0,FR,2014-03-17,2015-03-13,untracked,Mobile Safari,iPhone,MALE,234rqexdpy,en,iOS,12,facebook,20140317082654,2014-03-17,171296.0
5323,direct,direct,25.0,other,2014-04-02,2014-04-22,untracked,Chrome,Windows Desktop,MALE,238h9a3b3a,en,Web,0,facebook,20140402093128,2014-04-02,349724.0
5332,sem-non-brand,google,43.0,US,2014-02-24,2014-02-25,omg,IE,Windows Desktop,FEMALE,23ej1cr6q0,en,Web,0,basic,20140224170707,2014-02-24,2597853.0
5340,sem-brand,google,47.0,FR,2014-06-06,2014-07-02,omg,Safari,Mac Desktop,,23heipr792,en,Web,0,basic,20140606061249,2014-06-06,609311.0
5346,direct,direct,44.0,other,2014-02-26,2014-12-07,untracked,IE,Windows Desktop,MALE,23kahml4ix,en,Web,0,facebook,20140226051449,2014-02-26,4764362.0
5347,direct,direct,27.0,US,2014-06-27,2014-06-28,untracked,Chrome,Windows Desktop,FEMALE,23l5ntt8i5,en,Web,0,basic,20140627164158,2014-06-27,1783564.0
5348,sem-brand,google,49.0,other,2014-03-20,2014-03-20,untracked,Mobile Safari,iPhone,MALE,23mc3ymcvi,en,Web,0,basic,20140320003802,2014-03-20,51237.0
5349,sem-non-brand,google,33.0,US,2014-04-28,2015-03-27,omg,Safari,Mac Desktop,FEMALE,23np06e4lk,en,Web,0,facebook,20140428023315,2014-04-28,5211.0
5354,sem-non-brand,bing,22.0,US,2014-05-15,2014-06-26,omg,Chrome,Windows Desktop,MALE,23osxoyf7q,en,Web,0,facebook,20140515184306,2014-05-15,809158.0
5356,sem-brand,google,36.0,US,2014-04-25,2014-10-01,omg,Chrome,Mac Desktop,FEMALE,23p57xhvhn,en,Web,0,basic,20140425194550,2014-04-25,1485264.0
5361,direct,direct,33.0,ES,2014-04-13,2014-04-13,tracked-other,Safari,Mac Desktop,MALE,23smg9ygg3,en,Web,0,basic,20140413004251,2014-04-13,2056345.0
5362,direct,direct,21.0,US,2014-06-07,2014-12-20,untracked,-unknown-,iPhone,MALE,23u334qy7a,en,iOS,25,facebook,20140607181203,2014-06-07,1277592.0
5364,direct,direct,29.0,US,2014-05-27,2014-05-27,untracked,Chrome,Windows Desktop,FEMALE,23v6sotsyq,en,Web,0,basic,20140527002005,2014-05-27,1055239.0
5368,direct,direct,59.0,US,2014-01-09,2014-01-09,linked,Safari,Mac Desktop,FEMALE,23y0mie1uj,en,Web,0,basic,20140109031434,2014-01-09,731876.0
5374,sem-brand,google,62.0,US,2014-02-08,2014-12-12,omg,Mobile Safari,iPad,FEMALE,240sdehg50,en,Web,0,basic,20140208203151,2014-02-08,619627.0
5376,direct,direct,32.0,US,2014-02-11,2014-11-02,linked,Chrome,Mac Desktop,MALE,241n97y01h,en,Web,0,facebook,20140211000502,2014-02-11,67615.0
5382,direct,direct,46.0,US,2014-01-29,2014-01-29,untracked,Chrome,Windows Desktop,MALE,247etu5d1x,en,Web,0,basic,20140129061914,2014-01-29,2179578.0
5389,direct,direct,23.0,US,2014-03-12,2014-03-14,untracked,Mobile Safari,iPad,FEMALE,24c0fuxw26,fr,Web,0,basic,20140312220735,2014-03-12,2319489.0
5394,direct,direct,30.0,US,2014-06-26,2014-06-26,untracked,Firefox,Windows Desktop,,24ff8li7x2,en,Web,0,basic,20140626050025,2014-06-26,1384670.0
5408,sem-brand,google,29.0,US,2014-05-01,2015-02-23,omg,Chrome,Windows Desktop,FEMALE,24mrzkxz3o,en,Web,0,facebook,20140501200947,2014-05-01,1032514.0
5409,direct,direct,33.0,US,2014-04-07,2014-04-28,untracked,Firefox,Windows Desktop,,24ndz9pjbf,en,Web,0,basic,20140407055128,2014-04-07,6811205.0
5411,direct,direct,24.0,US,2014-06-02,2014-06-02,untracked,-unknown-,iPhone,,24obgz49t4,en,iOS,25,basic,20140602184946,2014-06-02,3708043.0
5412,sem-brand,google,47.0,CA,2014-03-27,2014-03-31,omg,Firefox,Mac Desktop,MALE,24or5shafl,en,Web,0,basic,20140327175416,2014-03-27,1092190.0
5422,direct,direct,30.0,US,2014-06-10,2014-11-03,untracked,-unknown-,iPhone,FEMALE,24wsek23bl,en,iOS,25,facebook,20140610065607,2014-06-10,456312.0
5423,direct,direct,31.0,FR,2014-06-25,2014-08-10,linked,Safari,Mac Desktop,FEMALE,24xb2aqul9,en,Web,0,basic,20140625033634,2014-06-25,2279399.0
5429,sem-brand,google,32.0,US,2014-03-24,2015-02-06,linked,Chrome,Windows Desktop,MALE,250cjhjkui,en,Web,0,facebook,20140324160423,2014-03-24,191614.0
5431,sem-non-brand,google,26.0,US,2014-03-14,2014-03-17,omg,Chrome,Windows Desktop,,250kjgel78,en,Web,0,basic,20140314210200,2014-03-14,13655195.0
5435,direct,direct,50.0,US,2014-03-03,2014-03-03,linked,Chrome,Mac Desktop,,254j62tq2z,en,Web,0,basic,20140303202141,2014-03-03,5101439.0
5437,direct,direct,31.0,US,2014-02-28,2014-03-01,untracked,Mobile Safari,iPad,FEMALE,2561fefzbu,en,Web,0,basic,20140228235232,2014-02-28,852623.0
5438,direct,direct,19.0,US,2014-04-20,2015-02-25,linked,Chrome,Windows Desktop,MALE,256e3n7eb5,zh,Web,0,facebook,20140420015410,2014-04-20,43987.0
5440,seo,google,22.0,US,2014-02-12,2014-02-14,linked,Chrome,Windows Desktop,MALE,2573z6257m,en,Web,0,basic,20140212082156,2014-02-12,64235.0
5449,direct,direct,28.0,US,2014-06-15,2014-12-10,untracked,-unknown-,iPhone,MALE,259lk5xn2g,en,iOS,25,basic,20140615075607,2014-06-15,1377772.0
5450,direct,direct,31.0,US,2014-06-02,2014-06-03,untracked,Chrome,Mac Desktop,,25bb2e8ym5,en,Web,0,basic,20140602181759,2014-06-02,299924.0
5454,sem-brand,google,40.0,other,2014-06-25,2014-08-06,omg,Chrome,Windows Desktop,MALE,25c9b2a59o,en,Web,0,basic,20140625233043,2014-06-25,236743.0
5464,sem-brand,google,31.0,US,2014-03-19,2014-03-23,untracked,Chrome Mobile,iPad,MALE,25hf01ni0w,en,Web,0,basic,20140319200817,2014-03-19,1097743.0
5467,direct,direct,25.0,US,2014-04-03,2014-05-02,untracked,Chrome,Mac Desktop,FEMALE,25k0v5xtmm,en,Web,0,basic,20140403054940,2014-04-03,1825046.0
5472,direct,direct,27.0,US,2014-01-25,2014-04-16,untracked,Chrome,Mac Desktop,MALE,25pji5q4zh,en,Web,0,basic,20140125194644,2014-01-25,3034614.0
5473,direct,direct,41.0,FR,2014-03-17,2014-03-20,untracked,Chrome,Windows Desktop,FEMALE,25qd4thqm0,en,Web,0,basic,20140317194537,2014-03-17,4854402.0
5474,direct,direct,24.0,US,2014-06-28,2014-06-29,untracked,Safari,Mac Desktop,FEMALE,25qii0cnra,en,Web,0,facebook,20140628224922,2014-06-28,1208281.0
5481,direct,direct,28.0,US,2014-05-26,2015-04-16,untracked,-unknown-,iPhone,,25u80rs16c,en,iOS,25,basic,20140526055053,2014-05-26,4660381.0
5486,direct,direct,51.0,FR,2014-04-12,2015-03-09,untracked,IE,Windows Desktop,MALE,25xucsjcm2,es,Web,0,facebook,20140412011859,2014-04-12,1982267.0
5495,sem-non-brand,google,53.0,US,2014-05-24,2014-05-25,omg,Chrome Mobile,iPad,FEMALE,261yic8r10,en,Web,0,basic,20140524222206,2014-05-24,3802035.0
5498,sem-non-brand,google,30.0,US,2014-06-09,2014-06-09,omg,Safari,Mac Desktop,FEMALE,263ae4ltxq,en,Web,0,facebook,20140609163137,2014-06-09,5607669.0
5505,direct,direct,24.0,US,2014-01-16,2014-06-19,untracked,Safari,Mac Desktop,FEMALE,265pbcxrim,en,Web,0,basic,20140116030239,2014-01-16,76745.0
5506,sem-brand,google,24.0,US,2014-05-10,2014-05-11,omg,Chrome,Mac Desktop,FEMALE,266tuu8ngt,en,Web,0,basic,20140510040415,2014-05-10,861105.0
5510,direct,direct,64.0,US,2014-06-05,2014-06-06,omg,IE,Windows Desktop,MALE,26877bfpx0,en,Web,0,basic,20140605234454,2014-06-05,5317001.0
5515,sem-brand,google,29.0,US,2014-05-05,2014-05-06,omg,Chrome,Windows Desktop,FEMALE,26aspikuz7,en,Web,0,basic,20140505175846,2014-05-05,338432.0
5516,direct,direct,23.0,US,2014-03-06,2014-03-06,untracked,Firefox,Mac Desktop,MALE,26au0gxfh5,en,Web,0,basic,20140306190400,2014-03-06,4160912.0
5519,direct,direct,27.0,US,2014-03-20,2014-03-20,untracked,Chrome,Mac Desktop,FEMALE,26cpjkyrwk,en,Web,0,facebook,20140320050130,2014-03-20,430710.0
5520,direct,direct,47.0,GB,2014-03-16,2014-03-17,omg,Safari,Mac Desktop,FEMALE,26d1hlljd1,en,Web,0,basic,20140316061054,2014-03-16,4068674.0
5522,direct,direct,25.0,US,2014-05-28,2014-06-19,untracked,-unknown-,iPhone,MALE,26d6q2owqw,en,iOS,25,facebook,20140528020052,2014-05-28,1259127.0
5523,direct,direct,35.0,ES,2014-06-14,2014-08-03,untracked,-unknown-,iPad,MALE,26dt2q6gmg,en,iOS,25,facebook,20140614225630,2014-06-14,479582.0
5524,direct,direct,31.0,US,2014-04-17,2014-04-18,linked,Chrome,Windows Desktop,,26dy3pnxyi,en,Web,0,basic,20140417064453,2014-04-17,1702991.0
5531,direct,direct,62.0,GB,2014-02-21,2014-02-22,untracked,Safari,Mac Desktop,FEMALE,26glch4pls,en,Web,0,basic,20140221040430,2014-02-21,739390.0
5534,direct,direct,34.0,US,2014-06-20,2014-06-20,omg,Safari,Mac Desktop,FEMALE,26hijn1d8d,en,Web,0,basic,20140620022506,2014-06-20,3174797.0
5536,sem-brand,google,25.0,US,2014-03-10,2014-07-17,omg,Chrome,Mac Desktop,FEMALE,26kt8oct2h,en,Web,0,facebook,20140310060144,2014-03-10,5138440.0
5538,sem-brand,google,44.0,US,2014-06-11,2014-06-11,tracked-other,Mobile Safari,iPhone,MALE,26mlro4ji1,en,Web,0,basic,20140611001642,2014-06-11,443324.0
5546,direct,direct,30.0,FR,2014-05-27,2014-06-26,untracked,Chrome,Windows Desktop,MALE,26pyx9uhkb,en,Web,0,basic,20140527192612,2014-05-27,842407.0
5550,sem-brand,google,35.0,US,2014-04-22,2014-07-03,omg,Firefox,Mac Desktop,MALE,26rt76ni77,en,Web,0,basic,20140422182742,2014-04-22,3204119.0
5551,direct,direct,19.0,other,2014-05-15,2014-05-21,omg,IE,Windows Desktop,MALE,26tlfxqpvs,en,Web,0,basic,20140515233755,2014-05-15,1042885.0
5555,sem-brand,google,25.0,US,2014-04-16,2014-04-20,omg,Mobile Safari,iPad,,26vdvc0e65,en,Web,0,basic,20140416072923,2014-04-16,6162066.0
5558,direct,direct,24.0,US,2014-06-01,2014-06-01,linked,Chrome,Windows Desktop,,26wahx26r0,en,Web,0,basic,20140601065919,2014-06-01,3324805.0
5561,other,other,34.0,US,2014-01-16,2014-01-17,marketing,Chrome,Mac Desktop,,26x11qrq2p,en,Web,0,basic,20140116232500,2014-01-16,537034.0
5563,direct,direct,38.0,US,2014-03-19,2014-03-23,untracked,Mobile Safari,iPhone,,26xz1gkd0a,en,iOS,25,basic,20140319000747,2014-03-19,0.0
5571,sem-non-brand,google,27.0,US,2014-05-13,2014-05-13,omg,Safari,Mac Desktop,FEMALE,272io7wgrq,en,Web,0,basic,20140513052400,2014-05-13,483864.0
5573,direct,direct,31.0,other,2014-06-23,2014-07-23,untracked,-unknown-,iPhone,FEMALE,273z8gah1b,en,iOS,25,facebook,20140623150938,2014-06-23,2033108.0
5576,direct,direct,62.0,US,2014-02-11,2014-02-13,untracked,Firefox,Windows Desktop,,275qeyqalt,en,Web,0,basic,20140211164900,2014-02-11,2056835.0
5580,direct,direct,19.0,US,2014-06-28,2014-09-09,untracked,Mobile Safari,iPhone,FEMALE,2789tv86tm,en,iOS,25,basic,20140628220817,2014-06-28,1356235.0
5582,direct,direct,40.0,US,2014-04-02,2014-04-04,omg,Safari,Mac Desktop,MALE,278n88wqd1,en,Web,0,basic,20140402231449,2014-04-02,2261897.0
5592,direct,direct,29.0,other,2014-04-08,2014-04-09,untracked,-unknown-,Other/Unknown,MALE,27ebsbafw8,en,Android,12,google,20140408042355,2014-04-08,1583843.0
5594,direct,direct,33.0,US,2014-03-21,2014-03-25,untracked,Firefox,Mac Desktop,MALE,27eljy6dvl,en,Web,0,basic,20140321202535,2014-03-21,21123.0
5596,direct,direct,37.0,other,2014-05-17,2014-05-18,linked,Safari,Mac Desktop,,27fof2f21u,en,Web,0,basic,20140517235451,2014-05-17,5702543.0
5597,direct,direct,36.0,US,2014-01-05,2014-01-17,product,Mobile Safari,iPad,,27g5f7wkyt,en,Moweb,24,basic,20140105020543,2014-01-05,2070824.0
5603,direct,direct,35.0,US,2014-05-16,2014-10-23,untracked,Chrome,Mac Desktop,MALE,27jaolxb7z,en,Web,0,facebook,20140516175337,2014-05-16,1453643.0
5605,remarketing,google,50.0,IT,2014-04-24,2014-04-25,untracked,Chrome,Windows Desktop,MALE,27l4k5rf5y,en,Web,0,basic,20140424184259,2014-04-24,113631.0
5614,sem-brand,google,39.0,US,2014-06-14,2014-06-14,omg,Safari,Mac Desktop,,27o32ackxh,en,Web,0,basic,20140614154837,2014-06-14,1771722.0
5617,direct,direct,22.0,US,2014-06-14,2014-06-15,untracked,Mobile Safari,iPad,FEMALE,27odhqnf1q,en,iOS,25,facebook,20140614173133,2014-06-14,1770487.0
5621,direct,direct,25.0,US,2014-06-26,2014-06-26,untracked,Chrome,Mac Desktop,FEMALE,27scoh1atw,en,Web,0,basic,20140626185639,2014-06-26,2143.0
5629,sem-brand,google,35.0,US,2014-04-17,2014-04-17,omg,Safari,Mac Desktop,FEMALE,27z63cqabm,en,Web,0,facebook,20140417024419,2014-04-17,5728000.0
5631,direct,direct,22.0,ES,2014-01-13,2014-02-05,linked,Mobile Safari,iPad,MALE,280kwtw8gb,en,Web,0,facebook,20140113022929,2014-01-13,870178.0
5636,direct,direct,55.0,US,2014-04-03,2014-04-29,untracked,Chrome,Windows Desktop,FEMALE,283npbdj27,en,Web,0,facebook,20140403201717,2014-04-03,4441429.0
5642,direct,direct,45.0,US,2014-04-16,2014-08-07,untracked,Safari,Mac Desktop,MALE,2870kq6hog,en,Web,0,basic,20140416070321,2014-04-16,4486000.0
5644,sem-non-brand,google,31.0,US,2014-02-25,2014-02-25,omg,Chrome,Mac Desktop,MALE,28a7pexkif,en,Web,0,facebook,20140225033705,2014-02-25,470221.0
5645,seo,google,31.0,US,2014-05-15,2014-07-25,untracked,Chrome,Mac Desktop,FEMALE,28aa65qzct,en,Web,0,facebook,20140515182722,2014-05-15,2321784.0
5646,sem-brand,google,50.0,US,2014-06-20,2014-06-20,linked,Chrome,Desktop (Other),FEMALE,28bbghi687,en,Web,0,basic,20140620042948,2014-06-20,1915104.0
5648,direct,direct,27.0,US,2014-03-20,2014-03-22,untracked,Firefox,Windows Desktop,,28df39v7t4,en,Web,0,basic,20140320231247,2014-03-20,1942686.0
5650,direct,direct,27.0,US,2014-01-07,2014-02-26,untracked,BlackBerry Browser,Android Tablet,MALE,28fe5l5bax,en,Web,0,basic,20140107082156,2014-01-07,1589829.0
5656,direct,direct,25.0,US,2014-06-21,2014-06-23,untracked,Firefox,Mac Desktop,MALE,28iy0ly0bj,en,Web,0,facebook,20140621093156,2014-06-21,5149.0
5676,direct,direct,63.0,US,2014-02-01,2014-02-09,linked,Firefox,Mac Desktop,MALE,28s9oltje0,en,Web,0,basic,20140201220811,2014-02-01,2603717.0
5680,direct,direct,35.0,US,2014-03-27,2014-04-20,untracked,-unknown-,Other/Unknown,FEMALE,28tazh1whb,en,Android,23,basic,20140327212229,2014-03-27,6738253.0
5691,direct,direct,27.0,CA,2014-05-12,2014-05-14,untracked,Firefox,Mac Desktop,FEMALE,291debe3y3,en,Web,0,basic,20140512201423,2014-05-12,266391.0
5693,direct,direct,30.0,US,2014-05-05,2014-05-07,linked,Safari,Mac Desktop,FEMALE,293344ky6p,en,Web,0,facebook,20140505232624,2014-05-05,224551.0
5695,direct,direct,63.0,US,2014-06-18,2014-06-18,untracked,Firefox,Windows Desktop,FEMALE,2957ez4sht,en,Web,0,basic,20140618003702,2014-06-18,1403.0
5698,sem-brand,google,75.0,GB,2014-04-08,2014-06-01,omg,Safari,Mac Desktop,MALE,296t4mjoj0,en,Web,0,basic,20140408021023,2014-04-08,1257146.0
5703,direct,direct,26.0,US,2014-03-29,2014-03-29,untracked,Safari,Mac Desktop,FEMALE,29a7tvm8c2,en,Web,0,basic,20140329002249,2014-03-29,4732303.0
5712,direct,direct,35.0,US,2014-04-27,2014-04-27,untracked,Safari,Mac Desktop,,29gc3wlfy2,en,Web,0,basic,20140427005430,2014-04-27,1948495.0
5721,direct,direct,29.0,CA,2014-06-16,2014-06-17,linked,Chrome,Windows Desktop,MALE,29isn75cvs,en,Web,0,basic,20140616213345,2014-06-16,5830559.0
5732,direct,direct,27.0,US,2014-03-26,2014-03-26,untracked,Chrome,Mac Desktop,FEMALE,29mqx9rlw6,en,Web,0,facebook,20140326033419,2014-03-26,989747.0
5734,direct,direct,24.0,FR,2014-04-14,2014-08-06,linked,Chrome,Mac Desktop,FEMALE,29nla4v9gm,en,Web,0,facebook,20140414170513,2014-04-14,2703292.0
5735,seo,google,60.0,US,2014-02-17,2014-02-26,linked,Mobile Safari,iPad,FEMALE,29nojepdaz,en,Web,0,basic,20140217180847,2014-02-17,140890.0
5739,direct,direct,31.0,US,2014-04-03,2014-04-15,untracked,Mobile Safari,iPhone,,29p4aignm2,en,Moweb,24,basic,20140403152928,2014-04-03,3678510.0
5742,sem-brand,google,24.0,other,2014-05-30,2015-05-21,omg,Chrome,Windows Desktop,FEMALE,29quaep8lg,en,Web,0,facebook,20140530025043,2014-05-30,241043.0
5743,sem-non-brand,google,60.0,other,2014-06-21,2014-06-24,linked,Safari,Mac Desktop,MALE,29r7t5n1c5,en,Web,0,basic,20140621203040,2014-06-21,3887669.0
5745,direct,direct,29.0,US,2014-05-02,2014-05-02,untracked,Chrome,Windows Desktop,MALE,29rhbtz2qd,en,iOS,25,facebook,20140502025146,2014-05-02,3959209.0
5746,direct,direct,35.0,other,2014-06-11,2014-06-11,untracked,-unknown-,Android Phone,FEMALE,29tb5lx29z,en,Android,23,basic,20140611203730,2014-06-11,1163880.0
5747,sem-brand,google,59.0,ES,2014-04-29,2014-05-05,untracked,Mobile Safari,iPad,FEMALE,29tccb8rr6,en,Web,0,basic,20140429042320,2014-04-29,1164063.0
5756,sem-brand,google,50.0,US,2014-06-19,2014-06-19,omg,Mobile Safari,iPad,MALE,29xsft91h6,en,Web,0,facebook,20140619055845,2014-06-19,2851212.0
5757,api,other,23.0,US,2014-03-25,2014-04-07,untracked,-unknown-,Other/Unknown,FEMALE,29y8qmcfnn,en,Android,12,facebook,20140325064321,2014-03-25,12419285.0
5762,remarketing,google,30.0,other,2014-05-19,2014-08-18,untracked,Chrome,Mac Desktop,MALE,2a0a73qxw9,en,Web,0,basic,20140519025644,2014-05-19,2096411.0
5768,direct,direct,48.0,US,2014-06-07,2014-06-08,untracked,Firefox,Mac Desktop,,2a3duhzakg,en,Web,0,basic,20140607205743,2014-06-07,1821939.0
5770,direct,direct,23.0,US,2014-06-14,2014-06-15,untracked,Firefox,Windows Desktop,MALE,2a42ut4opp,en,Web,0,basic,20140614073522,2014-06-14,4145621.0
5774,direct,direct,27.0,US,2014-04-24,2014-06-20,untracked,Chrome,Windows Desktop,MALE,2a738ubiug,en,Web,0,basic,20140424171236,2014-04-24,1821280.0
5781,sem-brand,google,50.0,US,2014-01-20,2014-05-23,linked,Safari,Mac Desktop,FEMALE,2aa9d8ua1v,en,Web,0,basic,20140120171728,2014-01-20,2575382.0
5784,sem-non-brand,google,31.0,US,2014-04-10,2015-02-09,linked,Safari,Mac Desktop,,2ac518h27x,en,Web,0,basic,20140410193139,2014-04-10,337919.0
5789,direct,direct,38.0,US,2014-04-30,2014-04-30,untracked,-unknown-,Android Phone,,2aera0cmik,en,iOS,25,basic,20140430050839,2014-04-30,5183044.0
5793,direct,direct,22.0,US,2014-02-23,2014-02-26,untracked,Chrome,Mac Desktop,MALE,2ag7tjobyw,en,Web,0,basic,20140223062454,2014-02-23,3561939.0
5794,direct,direct,36.0,US,2014-04-14,2014-04-22,untracked,-unknown-,iPhone,MALE,2agu73n08m,en,iOS,12,facebook,20140414063016,2014-04-14,158288.0
5798,sem-brand,google,33.0,US,2014-03-06,2014-07-15,omg,Mobile Safari,iPad,,2aimuz0k37,en,Web,0,basic,20140306174734,2014-03-06,2494516.0
5807,sem-brand,google,45.0,US,2014-04-08,2014-08-18,omg,Firefox,Mac Desktop,FEMALE,2an9r0cn28,en,Web,0,facebook,20140408020221,2014-04-08,5229481.0
5809,sem-non-brand,google,42.0,US,2014-01-24,2014-01-31,omg,IE,Windows Desktop,FEMALE,2ap8hz6o9n,en,Web,0,facebook,20140124234232,2014-01-24,25996.0
5818,direct,direct,27.0,US,2014-05-27,2014-10-27,untracked,Safari,Mac Desktop,FEMALE,2asxpwz0mj,en,Web,0,facebook,20140527195255,2014-05-27,1583542.0
5820,seo,google,30.0,US,2014-02-25,2014-03-01,untracked,Chrome,Windows Desktop,,2au9xujtze,en,Web,0,basic,20140225004138,2014-02-25,105387.0
5822,direct,direct,30.0,FR,2014-06-16,2014-06-16,linked,Chrome,Windows Desktop,FEMALE,2avvn3mc5g,en,Web,0,basic,20140616014330,2014-06-16,2701551.0
5828,direct,direct,45.0,US,2014-04-02,2014-04-05,linked,Firefox,Windows Desktop,,2ayjn43tgn,en,Web,0,basic,20140402181052,2014-04-02,2773025.0
5830,direct,direct,51.0,US,2014-02-01,2014-02-20,untracked,Safari,Mac Desktop,FEMALE,2ayxc74bfq,en,Web,0,basic,20140201190953,2014-02-01,11157.0
5832,sem-brand,google,28.0,US,2014-04-15,2014-08-19,omg,Safari,Mac Desktop,,2b04cvqyj4,en,Web,0,basic,20140415182022,2014-04-15,1132991.0
5836,sem-brand,google,35.0,US,2014-03-10,2014-03-10,omg,Chrome,Windows Desktop,FEMALE,2b1ztkax0p,en,Web,0,basic,20140310012503,2014-03-10,3289137.0
5837,direct,direct,28.0,US,2014-02-28,2014-09-19,untracked,-unknown-,iPhone,MALE,2b2jffismd,en,iOS,25,basic,20140228165107,2014-02-28,1180814.0
5840,direct,direct,38.0,FR,2014-02-13,2014-02-13,untracked,Chrome,Mac Desktop,MALE,2b56aqtatj,en,Web,0,basic,20140213212925,2014-02-13,3958360.0
5843,sem-brand,google,54.0,US,2014-05-13,2014-05-13,omg,Chrome,Mac Desktop,MALE,2b86mm340o,en,Web,0,basic,20140513061933,2014-05-13,759196.0
5850,direct,direct,32.0,US,2014-03-05,2014-03-05,untracked,Chrome,Windows Desktop,MALE,2bb70yd5uk,en,Web,0,facebook,20140305214107,2014-03-05,783012.0
5851,api,other,26.0,US,2014-02-02,2014-11-10,untracked,-unknown-,Other/Unknown,MALE,2bbk7u072n,en,Android,12,facebook,20140202140353,2014-02-02,5118.0
